Crop,Rainfall,Water Source,Soil Type,Organic,Fertilizers Used,Climate,Season,Labor Availability,Yield
Grape,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,High,67
Mango,Abundant,Other,Sandy,No,DAP,Tropical,Summer,Low,34
Mango,Abundant,Rain,Sandy,No,Compost,Tropical,Spring,High,75
Grape,Medium,Rain,Loamy,No,Potash,Temperate,Spring,High,55
Barley,Medium,Bore,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,High,24
Rice,Abundant,Rain,Clay,Yes,Urea,Tropical,Summer,Medium,89
Wheat,Medium,Rain,Loamy,Yes,Urea,Temperate,Autumn,High,88
Rice,Abundant,Bore,Silt,Yes,None,Tropical,Summer,Low,28
Cotton,Abundant,Bore,Sandy,Yes,Potash,Tropical,Summer,High,69
Cotton,Abundant,Bore,Saline,No,"DAP, Compost",Tropical,Summer,High,57
Grape,Medium,Other,Sandy,Yes,DAP,Tropical,Spring,Medium,76
Sugarcane,Abundant,Other,Clay,No,"Urea, Potash",Tropical,Spring,High,58
Soybean,Medium,Bore,Sandy,No,Potash,Tropical,Spring,High,77
Sugarcane,Abundant,Bore,Clay,No,"Urea, DAP, Potash",Tropical,Spring,High,60
Mango,Abundant,Rain,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,Low,20
Barley,Medium,Rain,Sandy,No,DAP,Temperate,Spring,High,48
Barley,Medium,Bore,Sandy,Yes,Potash,Temperate,Spring,Medium,86
Grape,Medium,Bore,Loamy,Yes,"Urea, Potash",Temperate,Spring,Medium,37
Mango,Abundant,Bore,Sandy,Yes,"DAP, Compost",Tropical,Spring,High,97
Maize,Medium,Other,Sandy,No,None,Dry,Summer,Low,49
Soybean,Medium,Rain,Loamy,Yes,Compost,Tropical,Spring,High,33
Turmeric,Abundant,Bore,Clay,No,Urea,Tropical,Autumn,High,49
Rice,Abundant,Rain,Silt,Yes,Compost,Tropical,Summer,Medium,94
Soybean,Medium,Other,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,High,59
Barley,Medium,Bore,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,Medium,67
Grape,Medium,Rain,Loamy,Yes,None,Tropical,Summer,Medium,48
Millet,Less/No Rain,Bore,Sandy,No,Urea,Dry,Summer,Low,59
Wheat,Medium,Other,Loamy,No,Urea,Temperate,Spring,Low,34
Turmeric,Abundant,Rain,Loamy,No,Compost,Tropical,Summer,Low,24
Rice,Abundant,Rain,Clay,No,Compost,Tropical,Summer,Low,42
Millet,Less/No Rain,Bore,Loamy,No,"Urea, Potash",Dry,Summer,Low,33
Cotton,Abundant,Other,Saline,Yes,"DAP, Compost",Tropical,Summer,Low,41
Mango,Abundant,Other,Sandy,No,Urea,Tropical,Summer,High,96
Grape,Medium,Rain,Sandy,Yes,"DAP, Compost",Temperate,Spring,High,35
Rice,Abundant,Other,Silt,No,"Urea, DAP, Potash",Tropical,Summer,Low,52
Millet,Less/No Rain,Other,Sandy,Yes,None,Dry,Summer,Low,99
Wheat,Medium,Other,Sandy,No,None,Temperate,Autumn,Medium,21
Sugarcane,Abundant,Other,Clay,No,DAP,Tropical,Summer,Low,80
Soybean,Medium,Other,Loamy,No,DAP,Tropical,Spring,Low,89
Millet,Less/No Rain,Bore,Sandy,No,"Urea, Potash",Dry,Summer,Medium,87
Sugarcane,Abundant,Other,Loamy,Yes,None,Tropical,Spring,Medium,91
Grape,Medium,Other,Sandy,No,Compost,Temperate,Spring,Medium,63
Grape,Medium,Bore,Loamy,No,None,Tropical,Summer,Medium,61
Cotton,Abundant,Rain,Saline,No,"DAP, Compost",Dry,Summer,High,80
Mango,Abundant,Other,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,High,29
Mango,Abundant,Other,Loamy,Yes,Potash,Tropical,Spring,Medium,91
Barley,Medium,Bore,Loamy,Yes,Urea,Temperate,Spring,Low,84
Rice,Abundant,Rain,Silt,Yes,"DAP, Compost",Tropical,Summer,Low,73
Rice,Abundant,Other,Clay,Yes,Potash,Tropical,Summer,Medium,91
Rice,Abundant,Bore,Clay,Yes,"DAP, Compost",Tropical,Summer,High,62
Sugarcane,Abundant,Other,Loamy,Yes,"DAP, Compost",Tropical,Summer,Low,28
Turmeric,Abundant,Bore,Loamy,Yes,DAP,Tropical,Summer,Medium,20
Maize,Less/No Rain,Bore,Loamy,No,Potash,Temperate,Summer,Low,74
Grape,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,79
Mango,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Spring,Medium,84
Turmeric,Abundant,Bore,Clay,No,DAP,Tropical,Autumn,Medium,97
Wheat,Medium,Rain,Sandy,Yes,DAP,Temperate,Spring,Medium,88
Barley,Medium,Rain,Sandy,No,Compost,Temperate,Spring,Medium,64
Maize,Medium,Rain,Sandy,Yes,Potash,Dry,Summer,Low,58
Barley,Medium,Rain,Loamy,Yes,Compost,Temperate,Spring,Medium,64
Barley,Medium,Rain,Sandy,No,Urea,Temperate,Spring,High,97
Barley,Medium,Bore,Sandy,Yes,"Urea, Potash",Temperate,Spring,Medium,36
Grape,Medium,Bore,Loamy,Yes,None,Tropical,Summer,Low,57
Soybean,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,39
Sugarcane,Abundant,Bore,Clay,Yes,Compost,Tropical,Spring,Medium,37
Barley,Medium,Bore,Loamy,Yes,"DAP, Compost",Temperate,Spring,High,33
Wheat,Medium,Other,Sandy,Yes,Urea,Temperate,Autumn,High,66
Barley,Medium,Rain,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,Low,60
Grape,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,54
Turmeric,Abundant,Other,Loamy,No,Compost,Tropical,Autumn,Low,52
Grape,Medium,Other,Loamy,Yes,"DAP, Compost",Temperate,Spring,Low,82
Grape,Medium,Rain,Loamy,No,"Urea, Potash",Tropical,Spring,Medium,27
Wheat,Medium,Rain,Loamy,No,None,Temperate,Autumn,Low,23
Mango,Abundant,Bore,Loamy,No,Compost,Tropical,Spring,Low,74
Maize,Less/No Rain,Other,Loamy,Yes,Potash,Temperate,Spring,Low,22
Millet,Less/No Rain,Other,Sandy,No,"DAP, Compost",Dry,Summer,Low,74
Sugarcane,Abundant,Bore,Loamy,No,"Urea, Potash",Tropical,Summer,Medium,76
Turmeric,Abundant,Other,Loamy,Yes,Potash,Tropical,Autumn,Low,88
Turmeric,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Autumn,Medium,36
Sugarcane,Abundant,Other,Clay,Yes,DAP,Tropical,Spring,Low,87
Wheat,Medium,Other,Sandy,No,Compost,Temperate,Spring,Medium,81
Wheat,Medium,Other,Loamy,No,Compost,Temperate,Autumn,High,84
Barley,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Spring,Medium,51
Barley,Medium,Bore,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,55
Soybean,Medium,Rain,Loamy,Yes,Potash,Temperate,Spring,Low,24
Rice,Abundant,Other,Clay,Yes,"DAP, Compost",Tropical,Summer,Medium,52
Rice,Abundant,Rain,Silt,No,DAP,Tropical,Summer,Medium,88
Soybean,Medium,Bore,Loamy,Yes,Potash,Tropical,Spring,Low,56
Turmeric,Abundant,Rain,Loamy,No,Compost,Tropical,Autumn,Low,86
Soybean,Medium,Other,Loamy,No,Urea,Temperate,Spring,Low,91
Turmeric,Abundant,Rain,Clay,Yes,Compost,Tropical,Autumn,High,45
Sugarcane,Abundant,Rain,Clay,Yes,Compost,Tropical,Summer,Medium,38
Barley,Medium,Rain,Loamy,Yes,DAP,Temperate,Spring,Medium,73
Cotton,Abundant,Other,Saline,No,DAP,Dry,Summer,High,92
Turmeric,Abundant,Bore,Loamy,Yes,DAP,Tropical,Summer,Low,81
Sugarcane,Abundant,Rain,Loamy,Yes,DAP,Tropical,Summer,High,56
Millet,Less/No Rain,Bore,Loamy,Yes,Urea,Dry,Summer,Medium,51
Rice,Abundant,Other,Silt,Yes,"DAP, Compost",Tropical,Summer,High,75
Maize,Medium,Bore,Sandy,Yes,Potash,Dry,Summer,Medium,51
Turmeric,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Summer,Medium,74
Mango,Abundant,Rain,Sandy,No,"DAP, Compost",Tropical,Summer,High,61
Millet,Less/No Rain,Other,Loamy,No,Potash,Dry,Summer,High,40
Cotton,Abundant,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,49
Mango,Abundant,Rain,Loamy,No,"Urea, DAP, Potash",Tropical,Spring,Low,91
Rice,Abundant,Other,Clay,Yes,Urea,Tropical,Summer,High,32
Wheat,Medium,Other,Sandy,No,"Urea, Potash",Temperate,Spring,Medium,41
Rice,Abundant,Rain,Silt,Yes,Compost,Tropical,Summer,Medium,81
Cotton,Abundant,Other,Saline,No,Potash,Dry,Summer,High,53
Barley,Medium,Other,Sandy,No,"DAP, Compost",Temperate,Spring,Low,79
Mango,Abundant,Other,Loamy,No,"Urea, DAP, Potash",Tropical,Spring,High,26
Mango,Abundant,Rain,Loamy,Yes,Potash,Tropical,Spring,Medium,79
Maize,Medium,Bore,Sandy,Yes,Potash,Temperate,Spring,Low,78
Wheat,Medium,Rain,Loamy,Yes,"DAP, Compost",Temperate,Autumn,Low,54
Sugarcane,Abundant,Bore,Loamy,No,Urea,Tropical,Spring,Low,98
Mango,Abundant,Other,Loamy,No,Compost,Tropical,Spring,Low,87
Rice,Abundant,Bore,Clay,Yes,None,Tropical,Summer,Medium,80
Soybean,Medium,Rain,Loamy,Yes,"DAP, Compost",Tropical,Spring,Medium,21
Millet,Less/No Rain,Bore,Loamy,Yes,DAP,Dry,Summer,High,55
Rice,Abundant,Other,Clay,Yes,Compost,Tropical,Summer,Low,73
Turmeric,Abundant,Bore,Clay,Yes,Potash,Tropical,Summer,Medium,48
Soybean,Medium,Rain,Sandy,Yes,None,Tropical,Summer,High,35
Rice,Abundant,Other,Clay,No,"DAP, Compost",Tropical,Summer,Medium,77
Maize,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Temperate,Summer,Medium,65
Soybean,Medium,Rain,Sandy,Yes,DAP,Tropical,Summer,Medium,89
Turmeric,Abundant,Bore,Clay,No,Potash,Tropical,Autumn,Medium,89
Soybean,Medium,Rain,Loamy,No,"DAP, Compost",Tropical,Summer,High,42
Millet,Less/No Rain,Bore,Loamy,No,Potash,Dry,Summer,Medium,75
Turmeric,Abundant,Rain,Clay,No,Urea,Tropical,Autumn,Low,21
Sugarcane,Abundant,Rain,Loamy,No,None,Tropical,Spring,High,73
Millet,Less/No Rain,Bore,Sandy,Yes,Urea,Dry,Summer,Medium,85
Mango,Abundant,Other,Loamy,Yes,Compost,Tropical,Spring,High,25
Grape,Medium,Bore,Sandy,No,DAP,Temperate,Summer,Medium,93
Rice,Abundant,Rain,Silt,Yes,DAP,Tropical,Summer,High,88
Maize,Less/No Rain,Other,Sandy,No,"Urea, Potash",Temperate,Summer,Low,90
Millet,Less/No Rain,Other,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,Medium,27
Soybean,Medium,Rain,Sandy,Yes,"Urea, Potash",Tropical,Spring,Medium,84
Soybean,Medium,Rain,Loamy,Yes,Urea,Temperate,Spring,Low,43
Sugarcane,Abundant,Rain,Loamy,No,Urea,Tropical,Spring,Medium,59
Rice,Abundant,Other,Clay,No,"DAP, Compost",Tropical,Summer,Low,54
Soybean,Medium,Other,Sandy,No,"DAP, Compost",Temperate,Spring,High,82
Maize,Less/No Rain,Other,Sandy,Yes,"DAP, Compost",Temperate,Spring,High,35
Barley,Medium,Other,Sandy,No,Compost,Temperate,Spring,Medium,66
Sugarcane,Abundant,Rain,Loamy,Yes,"DAP, Compost",Tropical,Summer,High,81
Maize,Medium,Rain,Loamy,No,Potash,Dry,Summer,Medium,92
Wheat,Medium,Bore,Loamy,No,None,Temperate,Autumn,High,98
Grape,Medium,Other,Sandy,Yes,Urea,Temperate,Spring,High,70
Grape,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Tropical,Spring,Medium,30
Grape,Medium,Other,Loamy,No,Compost,Temperate,Summer,Low,75
Maize,Medium,Other,Sandy,Yes,Compost,Temperate,Summer,High,75
Wheat,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,59
Soybean,Medium,Rain,Loamy,No,"Urea, Potash",Tropical,Spring,Low,90
Mango,Abundant,Bore,Sandy,No,"Urea, Potash",Tropical,Summer,Medium,84
Soybean,Medium,Other,Sandy,Yes,Potash,Tropical,Summer,Low,21
Mango,Abundant,Rain,Loamy,No,Potash,Tropical,Spring,Low,69
Grape,Medium,Bore,Loamy,Yes,None,Temperate,Summer,High,93
Grape,Medium,Bore,Loamy,Yes,None,Temperate,Spring,Low,85
Turmeric,Abundant,Bore,Clay,Yes,DAP,Tropical,Summer,Low,83
Mango,Abundant,Other,Loamy,Yes,Urea,Tropical,Spring,Medium,82
Mango,Abundant,Bore,Sandy,No,Compost,Tropical,Summer,High,44
Millet,Less/No Rain,Rain,Loamy,Yes,DAP,Dry,Summer,Low,86
Sugarcane,Abundant,Rain,Clay,Yes,Potash,Tropical,Summer,Low,67
Maize,Medium,Other,Loamy,No,Potash,Temperate,Summer,Low,90
Cotton,Abundant,Other,Sandy,No,DAP,Dry,Summer,Low,90
Cotton,Abundant,Bore,Saline,Yes,None,Tropical,Summer,Low,89
Mango,Abundant,Other,Sandy,No,Urea,Tropical,Summer,High,47
Wheat,Medium,Rain,Loamy,No,Urea,Temperate,Spring,High,33
Rice,Abundant,Rain,Clay,No,"DAP, Compost",Tropical,Summer,Medium,32
Soybean,Medium,Other,Sandy,Yes,None,Tropical,Summer,Medium,80
Barley,Medium,Bore,Loamy,Yes,Urea,Temperate,Spring,Medium,50
Cotton,Abundant,Rain,Sandy,No,"DAP, Compost",Dry,Summer,Low,78
Sugarcane,Abundant,Other,Loamy,Yes,DAP,Tropical,Spring,Medium,47
Wheat,Medium,Other,Loamy,No,Potash,Temperate,Spring,Medium,65
Wheat,Medium,Other,Loamy,Yes,Urea,Temperate,Spring,High,48
Soybean,Medium,Rain,Sandy,No,None,Tropical,Spring,High,22
Grape,Medium,Rain,Loamy,Yes,"DAP, Compost",Temperate,Spring,High,23
Rice,Abundant,Bore,Clay,Yes,Potash,Tropical,Summer,Low,50
Turmeric,Abundant,Rain,Loamy,Yes,None,Tropical,Autumn,Low,86
Mango,Abundant,Rain,Sandy,No,Potash,Tropical,Summer,Medium,85
Grape,Medium,Other,Loamy,No,None,Tropical,Spring,High,47
Rice,Abundant,Bore,Silt,Yes,Compost,Tropical,Summer,High,48
Barley,Medium,Other,Sandy,Yes,Potash,Temperate,Spring,Medium,27
Grape,Medium,Bore,Loamy,No,"Urea, Potash",Temperate,Summer,High,54
Sugarcane,Abundant,Rain,Loamy,No,"Urea, Potash",Tropical,Summer,High,50
Barley,Medium,Rain,Sandy,Yes,Urea,Temperate,Spring,Medium,98
Mango,Abundant,Bore,Sandy,Yes,None,Tropical,Summer,Low,93
Barley,Medium,Other,Loamy,Yes,None,Temperate,Spring,High,76
Rice,Abundant,Other,Silt,No,Urea,Tropical,Summer,High,34
Rice,Abundant,Other,Silt,No,"DAP, Compost",Tropical,Summer,Medium,70
Millet,Less/No Rain,Other,Loamy,Yes,Urea,Dry,Summer,Medium,51
Cotton,Abundant,Bore,Saline,Yes,"Urea, Potash",Dry,Summer,Medium,44
Cotton,Abundant,Bore,Sandy,Yes,DAP,Tropical,Summer,Medium,74
Millet,Less/No Rain,Rain,Sandy,No,"Urea, Potash",Dry,Summer,Low,38
Mango,Abundant,Bore,Sandy,No,Compost,Tropical,Summer,Low,93
Millet,Less/No Rain,Rain,Sandy,No,DAP,Dry,Summer,Low,67
Millet,Less/No Rain,Bore,Loamy,Yes,None,Dry,Summer,Medium,60
Cotton,Abundant,Other,Sandy,No,"Urea, DAP, Potash",Dry,Summer,Low,38
Soybean,Medium,Bore,Sandy,No,DAP,Tropical,Spring,Medium,30
Maize,Less/No Rain,Other,Sandy,No,DAP,Dry,Summer,Medium,34
Maize,Medium,Other,Loamy,Yes,"Urea, DAP, Potash",Temperate,Summer,Low,31
Soybean,Medium,Rain,Sandy,No,DAP,Temperate,Spring,Medium,93
Sugarcane,Abundant,Other,Clay,No,None,Tropical,Spring,Medium,37
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Summer,Medium,33
Cotton,Abundant,Other,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,High,96
Rice,Abundant,Other,Silt,No,Potash,Tropical,Summer,High,80
Rice,Abundant,Other,Silt,No,None,Tropical,Summer,Medium,95
Millet,Less/No Rain,Other,Sandy,No,Potash,Dry,Summer,Medium,40
Cotton,Abundant,Bore,Saline,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,26
Grape,Medium,Rain,Sandy,No,Urea,Temperate,Spring,High,47
Rice,Abundant,Rain,Clay,Yes,"DAP, Compost",Tropical,Summer,High,38
Wheat,Medium,Other,Sandy,No,Urea,Temperate,Spring,Medium,39
Cotton,Abundant,Bore,Saline,No,"Urea, Potash",Tropical,Summer,Medium,23
Cotton,Abundant,Bore,Saline,Yes,DAP,Dry,Summer,Low,70
Millet,Less/No Rain,Rain,Loamy,Yes,None,Dry,Summer,High,60
Millet,Less/No Rain,Bore,Sandy,Yes,None,Dry,Summer,Medium,61
Cotton,Abundant,Other,Saline,No,Compost,Tropical,Summer,Low,81
Grape,Medium,Rain,Loamy,No,Potash,Tropical,Spring,Medium,69
Barley,Medium,Rain,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Medium,95
Rice,Abundant,Other,Silt,No,DAP,Tropical,Summer,Low,84
Turmeric,Abundant,Bore,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,Low,65
Turmeric,Abundant,Rain,Clay,No,"Urea, DAP, Potash",Tropical,Summer,Low,73
Cotton,Abundant,Other,Sandy,Yes,"Urea, Potash",Tropical,Summer,High,90
Mango,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Spring,Medium,36
Grape,Medium,Other,Sandy,Yes,Potash,Tropical,Summer,Medium,88
Sugarcane,Abundant,Rain,Clay,Yes,Potash,Tropical,Spring,High,77
Grape,Medium,Rain,Sandy,Yes,"DAP, Compost",Tropical,Summer,Medium,38
Grape,Medium,Rain,Loamy,No,"Urea, Potash",Temperate,Summer,High,62
Rice,Abundant,Other,Silt,Yes,Compost,Tropical,Summer,High,89
Barley,Medium,Other,Loamy,Yes,"Urea, DAP, Potash",Temperate,Spring,High,29
Millet,Less/No Rain,Rain,Loamy,No,Compost,Dry,Summer,High,52
Maize,Less/No Rain,Rain,Sandy,No,None,Dry,Summer,Medium,41
Barley,Medium,Bore,Loamy,No,DAP,Temperate,Spring,Medium,72
Millet,Less/No Rain,Bore,Loamy,No,None,Dry,Summer,Low,79
Mango,Abundant,Rain,Loamy,No,"DAP, Compost",Tropical,Summer,Low,22
Mango,Abundant,Rain,Sandy,No,DAP,Tropical,Summer,High,23
Sugarcane,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Summer,Medium,52
Wheat,Medium,Rain,Sandy,Yes,"DAP, Compost",Temperate,Spring,High,87
Wheat,Medium,Other,Sandy,Yes,"DAP, Compost",Temperate,Spring,Low,35
Grape,Medium,Rain,Loamy,No,None,Temperate,Spring,Medium,61
Grape,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,42
Soybean,Medium,Bore,Sandy,No,"Urea, Potash",Tropical,Spring,Low,25
Mango,Abundant,Bore,Loamy,No,"Urea, DAP, Potash",Tropical,Summer,Medium,69
Mango,Abundant,Other,Sandy,No,"Urea, DAP, Potash",Tropical,Summer,Medium,59
Wheat,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Autumn,High,72
Maize,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Summer,Medium,77
Soybean,Medium,Bore,Sandy,No,DAP,Temperate,Spring,High,28
Cotton,Abundant,Rain,Sandy,Yes,Compost,Tropical,Summer,High,82
Rice,Abundant,Rain,Silt,No,"Urea, Potash",Tropical,Summer,Low,71
Maize,Less/No Rain,Bore,Sandy,No,None,Dry,Spring,Low,80
Soybean,Medium,Rain,Loamy,Yes,"Urea, DAP, Potash",Temperate,Summer,High,43
Sugarcane,Abundant,Bore,Loamy,No,Urea,Tropical,Spring,Low,50
Cotton,Abundant,Other,Saline,No,"Urea, Potash",Dry,Summer,High,95
Sugarcane,Abundant,Bore,Loamy,Yes,"DAP, Compost",Tropical,Summer,High,72
Millet,Less/No Rain,Other,Sandy,No,"DAP, Compost",Dry,Summer,Medium,88
Maize,Medium,Other,Loamy,Yes,Urea,Dry,Spring,High,67
Soybean,Medium,Other,Loamy,Yes,"Urea, DAP, Potash",Tropical,Spring,Medium,96
Cotton,Abundant,Other,Saline,No,"Urea, Potash",Dry,Summer,High,37
Wheat,Medium,Rain,Sandy,No,"Urea, Potash",Temperate,Spring,High,24
Maize,Medium,Other,Sandy,No,DAP,Dry,Spring,Low,73
Grape,Medium,Other,Sandy,Yes,None,Temperate,Spring,Low,43
Sugarcane,Abundant,Other,Loamy,No,DAP,Tropical,Spring,High,31
Soybean,Medium,Other,Sandy,Yes,Potash,Temperate,Spring,Low,31
Sugarcane,Abundant,Other,Loamy,No,Urea,Tropical,Spring,High,86
Maize,Medium,Rain,Sandy,No,"DAP, Compost",Temperate,Summer,High,61
Turmeric,Abundant,Other,Clay,No,None,Tropical,Autumn,High,98
Barley,Medium,Bore,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,Medium,27
Rice,Abundant,Bore,Clay,No,"Urea, Potash",Tropical,Summer,Medium,56
Sugarcane,Abundant,Other,Loamy,Yes,Urea,Tropical,Spring,Medium,25
Sugarcane,Abundant,Bore,Loamy,No,Compost,Tropical,Summer,Low,58
Rice,Abundant,Other,Silt,Yes,Compost,Tropical,Summer,Medium,83
Mango,Abundant,Rain,Sandy,No,"DAP, Compost",Tropical,Summer,High,21
Cotton,Abundant,Bore,Sandy,Yes,Urea,Tropical,Summer,Medium,38
Grape,Medium,Rain,Loamy,No,Potash,Temperate,Summer,Medium,60
Maize,Medium,Bore,Loamy,No,Urea,Dry,Spring,Medium,30
Millet,Less/No Rain,Bore,Sandy,No,Compost,Dry,Summer,Medium,31
Barley,Medium,Other,Sandy,No,Potash,Temperate,Spring,Medium,29
Turmeric,Abundant,Rain,Loamy,Yes,"Urea, DAP, Potash",Tropical,Summer,Low,64
Millet,Less/No Rain,Other,Loamy,Yes,"Urea, DAP, Potash",Dry,Summer,High,68
Barley,Medium,Other,Sandy,Yes,Urea,Temperate,Spring,Low,51
Millet,Less/No Rain,Rain,Sandy,Yes,"Urea, DAP, Potash",Dry,Summer,Low,71
Barley,Medium,Other,Loamy,No,"Urea, DAP, Potash",Temperate,Spring,High,34
Maize,Medium,Rain,Loamy,Yes,None,Dry,Spring,High,82
Mango,Abundant,Rain,Sandy,Yes,DAP,Tropical,Spring,Low,50
Soybean,Medium,Other,Sandy,Yes,"Urea, DAP, Potash",Tropical,Spring,Low,28
Turmeric,Abundant,Bore,Loamy,No,Urea,Tropical,Summer,Low,63
Mango,Abundant,Bore,Sandy,Yes,None,Tropical,Spring,Medium,54
Turmeric,Abundant,Bore,Clay,Yes,DAP,Tropical,Summer,Medium,66
Grape,Medium,Rain,Sandy,Yes,"Urea, DAP, Potash",Temperate,Spring,Low,61
Barley,Medium,Other,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,Medium,67
Millet,Less/No Rain,Rain,Loamy,Yes,Urea,Dry,Summer,High,89
Sugarcane,Abundant,Rain,Clay,No,None,Tropical,Spring,Low,83
Maize,Less/No Rain,Rain,Sandy,No,"DAP, Compost",Temperate,Spring,Medium,47
Maize,Medium,Bore,Sandy,Yes,"Urea, Potash",Dry,Spring,Medium,49
Turmeric,Abundant,Rain,Loamy,Yes,"Urea, Potash",Tropical,Autumn,Medium,26
Turmeric,Abundant,Rain,Clay,Yes,None,Tropical,Summer,Medium,40
Sugarcane,Abundant,Other,Loamy,No,"Urea, DAP, Potash",Tropical,Spring,High,32
Grape,Medium,Other,Sandy,Yes,"DAP, Compost",Tropical,Summer,Medium,36
Wheat,Medium,Rain,Sandy,Yes,Compost,Temperate,Autumn,Low,46
Mango,Abundant,Other,Loamy,No,"DAP, Compost",Tropical,Spring,High,31
Soybean,Medium,Bore,Sandy,Yes,"DAP, Compost",Temperate,Summer,Medium,48
Turmeric,Abundant,Bore,Loamy,Yes,Compost,Tropical,Autumn,High,91
Maize,Medium,Rain,Sandy,Yes,"Urea, Potash",Temperate,Spring,Medium,44
Rice,Abundant,Other,Clay,No,"Urea, Potash",Tropical,Summer,High,55
Cotton,Abundant,Bore,Sandy,No,Compost,Dry,Summer,High,25
Grape,Medium,Other,Loamy,Yes,Urea,Temperate,Summer,Medium,63
Soybean,Medium,Bore,Sandy,Yes,"Urea, DAP, Potash",Temperate,Summer,High,73
Millet,Less/No Rain,Rain,Sandy,No,Potash,Dry,Summer,High,84
Grape,Medium,Rain,Sandy,No,None,Tropical,Summer,High,73
Soybean,Medium,Rain,Loamy,No,DAP,Tropical,Spring,Low,62
Cotton,Abundant,Rain,Saline,Yes,Potash,Dry,Summer,High,72
Mango,Abundant,Other,Sandy,No,None,Tropical,Summer,Medium,23
Rice,Abundant,Bore,Silt,Yes,"Urea, Potash",Tropical,Summer,Low,46
Mango,Abundant,Other,Sandy,Yes,None,Tropical,Spring,Low,87
Turmeric,Abundant,Rain,Loamy,Yes,Urea,Tropical,Autumn,Low,53
Wheat,Medium,Bore,Sandy,No,Urea,Temperate,Autumn,Medium,21
Maize,Medium,Rain,Sandy,No,None,Dry,Spring,Medium,93
Millet,Less/No Rain,Other,Sandy,Yes,DAP,Dry,Summer,Low,40
Cotton,Abundant,Other,Sandy,No,Potash,Dry,Summer,Medium,29
Turmeric,Abundant,Rain,Loamy,Yes,"DAP, Compost",Tropical,Summer,Low,27
Grape,Medium,Other,Loamy,Yes,Potash,Temperate,Spring,Medium,87
Wheat,Medium,Other,Sandy,No,"Urea, DAP, Potash",Temperate,Spring,Low,40
Turmeric,Abundant,Rain,Clay,Yes,"Urea, DAP, Potash",Tropical,Summer,Medium,50
Millet,Less/No Rain,Rain,Loamy,No,Compost,Dry,Summer,High,33
Turmeric,Abundant,Bore,Loamy,No,Compost,Tropical,Autumn,High,32
Soybean,Medium,Other,Loamy,Yes,"DAP, Compost",Tropical,Summer,Medium,28
Rice,Abundant,Rain,Clay,No,Urea,Tropical,Summer,Medium,55
Barley,Medium,Bore,Loamy,No,Urea,Temperate,Spring,Low,43
Maize,Less/No Rain,Other,Loamy,Yes,Urea,Dry,Summer,Low,76
Turmeric,Abundant,Rain,Loamy,No,Potash,Tropical,Autumn,Medium,28
Grape,Medium,Rain,Loamy,Yes,"Urea, Potash",Temperate,Spring,High,74
Turmeric,Abundant,Bore,Loamy,No,"Urea, Potash",Tropical,Autumn,High,54
Wheat,Medium,Rain,Loamy,Yes,Urea,Temperate,Spring,Low,68
Rice,Abundant,Other,Silt,No,None,Tropical,Summer,Low,71
Barley,Medium,Other,Loamy,Yes,Urea,Temperate,Spring,Low,20
Millet,Less/No Rain,Other,Sandy,No,None,Dry,Summer,Medium,76
Wheat,Medium,Bore,Loamy,Yes,Potash,Temperate,Autumn,Medium,59
Soybean,Medium,Bore,Sandy,No,"Urea, Potash",Temperate,Summer,Medium,66
Sugarcane,Abundant,Other,Loamy,No,None,Tropical,Summer,High,45
Turmeric,Abundant,Bore,Clay,No,None,Tropical,Summer,Medium,35
